civil_date,total_row_count,rows_from_offset_0,rows_from_offset_minus_1,rows_from_offset_minus_7,rows_from_offset_minus_30,rows_from_offset_minus_365,rows_from_offset_minus_3650,rows_from_offset_plus_1,t0_file_status,expected_contributing_files_count,available_contributing_files_count,coverage_quality_flag,coverage_completeness,represented_only,documented_exception_label
2014-01-24,3354,0,0,1072,525,1757,0,0,expected_absent_per_recognized_list,6,3,t0_absent_substrate_gap+t_plus_1_neighbor_substrate_gap+t_minus_n_neighbor_substrate_gap,0.5,False,
2014-01-25,4207,0,663,792,798,1954,0,0,expected_absent_per_recognized_list,6,4,t0_absent_substrate_gap+t_plus_1_neighbor_substrate_gap,0.6666666666666666,False,
2014-01-26,86496,81569,975,945,774,2233,0,0,present,6,5,t_plus_1_neighbor_substrate_gap,0.8333333333333334,False,
2014-01-27,151432,145460,1274,1596,737,2263,0,102,present,6,6,full,1.0,False,
2014-01-28,157675,151973,1208,1512,220,2451,0,311,present,6,6,full,1.0,False,
2014-01-29,147474,142282,692,1322,583,2317,0,278,present,6,6,full,1.0,False,
2014-01-30,95080,90010,895,1119,416,2362,0,278,present,6,6,full,1.0,False,
2014-01-31,117117,113950,624,1048,103,1234,0,158,present,6,6,full,1.0,False,
2014-02-01,84222,80066,616,690,1002,1694,0,154,present,6,6,full,1.0,False,
2014-02-02,83829,78761,846,834,1168,2105,0,115,present,6,6,full,1.0,False,
