asset,base12_phase,state,long_pct,n,low_data,marker
GLD,11,indeterminate-state,NA,0,true,LOW_DATA
GLD,12,calm bull,63.1578947368421,19,true,LOW_DATA
GLD,12,manic / unstable rally,75.0,4,true,LOW_DATA
GLD,12,panic / crisis,66.66666666666667,3,true,LOW_DATA
GLD,12,quiet bearish / exhaustion,100.0,3,true,LOW_DATA
GLD,12,indeterminate-state,NA,0,true,LOW_DATA
TLT,1,calm bull,45.45454545454545,11,true,LOW_DATA
TLT,1,manic / unstable rally,50.0,2,true,LOW_DATA
TLT,1,panic / crisis,60.0,5,true,LOW_DATA
TLT,1,quiet bearish / exhaustion,66.66666666666667,3,true,LOW_DATA
TLT,1,indeterminate-state,NA,0,true,LOW_DATA
TLT,2,calm bull,33.333333333333336,12,true,LOW_DATA
TLT,2,manic / unstable rally,75.0,4,true,LOW_DATA
TLT,2,panic / crisis,50.0,6,true,LOW_DATA
TLT,2,quiet bearish / exhaustion,75.0,4,true,LOW_DATA
TLT,2,indeterminate-state,NA,0,true,LOW_DATA
TLT,3,calm bull,40.0,20,false,
TLT,3,manic / unstable rally,100.0,1,true,LOW_DATA
TLT,3,panic / crisis,100.0,2,true,LOW_DATA
TLT,3,quiet bearish / exhaustion,71.42857142857143,7,true,LOW_DATA
TLT,3,indeterminate-state,NA,0,true,LOW_DATA
TLT,4,calm bull,84.61538461538461,13,true,LOW_DATA
TLT,4,manic / unstable rally,40.0,5,true,LOW_DATA
TLT,4,panic / crisis,33.333333333333336,3,true,LOW_DATA
TLT,4,quiet bearish / exhaustion,100.0,4,true,LOW_DATA
TLT,4,indeterminate-state,NA,0,true,LOW_DATA
TLT,5,calm bull,66.66666666666667,12,true,LOW_DATA
TLT,5,manic / unstable rally,NA,0,true,LOW_DATA
TLT,5,panic / crisis,100.0,2,true,LOW_DATA
TLT,5,quiet bearish / exhaustion,100.0,2,true,LOW_DATA
TLT,5,indeterminate-state,NA,0,true,LOW_DATA
TLT,6,calm bull,40.0,5,true,LOW_DATA
TLT,6,manic / unstable rally,100.0,1,true,LOW_DATA
TLT,6,panic / crisis,85.71428571428571,7,true,LOW_DATA
TLT,6,quiet bearish / exhaustion,66.66666666666667,3,true,LOW_DATA
TLT,6,indeterminate-state,NA,0,true,LOW_DATA
TLT,7,calm bull,28.571428571428573,7,true,LOW_DATA
TLT,7,manic / unstable rally,100.0,2,true,LOW_DATA
TLT,7,panic / crisis,25.0,4,true,LOW_DATA
TLT,7,quiet bearish / exhaustion,11.11111111111111,9,true,LOW_DATA
TLT,7,indeterminate-state,NA,0,true,LOW_DATA
TLT,8,calm bull,54.54545454545455,11,true,LOW_DATA
TLT,8,manic / unstable rally,0.0,2,true,LOW_DATA
TLT,8,panic / crisis,42.857142857142854,7,true,LOW_DATA
TLT,8,quiet bearish / exhaustion,33.333333333333336,3,true,LOW_DATA
TLT,8,indeterminate-state,NA,0,true,LOW_DATA
TLT,9,calm bull,33.333333333333336,12,true,LOW_DATA
TLT,9,manic / unstable rally,100.0,2,true,LOW_DATA
TLT,9,panic / crisis,100.0,1,true,LOW_DATA
TLT,9,quiet bearish / exhaustion,NA,0,true,LOW_DATA
TLT,9,indeterminate-state,NA,0,true,LOW_DATA
TLT,10,calm bull,28.571428571428573,14,true,LOW_DATA
TLT,10,manic / unstable rally,100.0,1,true,LOW_DATA
TLT,10,panic / crisis,100.0,2,true,LOW_DATA
TLT,10,quiet bearish / exhaustion,100.0,1,true,LOW_DATA
TLT,10,indeterminate-state,NA,0,true,LOW_DATA
TLT,11,calm bull,25.0,4,true,LOW_DATA
TLT,11,manic / unstable rally,NA,0,true,LOW_DATA
TLT,11,panic / crisis,85.71428571428571,7,true,LOW_DATA
TLT,11,quiet bearish / exhaustion,50.0,6,true,LOW_DATA
TLT,11,indeterminate-state,NA,0,true,LOW_DATA
TLT,12,calm bull,0.0,6,true,LOW_DATA
TLT,12,manic / unstable rally,33.333333333333336,3,true,LOW_DATA
TLT,12,panic / crisis,50.0,4,true,LOW_DATA
TLT,12,quiet bearish / exhaustion,NA,0,true,LOW_DATA
TLT,12,indeterminate-state,NA,0,true,LOW_DATA
